Series_Title,Genre,Rating,No_of_Votes,Weighted Rating
The Shawshank Redemption,Drama,9.3,2343110,21790923.0
The Dark Knight,Crime,9.0,2303232,20729088.0
Inception,Sci-Fi,8.8,2067042,18189969.6
Fight Club,Drama,8.8,1854740,16321712.000000002
Pulp Fiction,Drama,8.9,1826188,16253073.200000001
Forrest Gump,Romance,8.8,1809221,15921144.8
The Godfather,Crime,9.2,1620367,14907376.399999999
The Lord of the Rings: The Fellowship of the Ring,Adventure,8.8,1661481,14621032.8
The Lord of the Rings: The Return of the King,Drama,8.9,1642758,14620546.200000001
The Matrix,Sci-Fi,8.7,1676426,14584906.2
