,Series_Title,Genre,Rating,No_of_Votes
2,The Dark Knight,Action,9.0,2303232
2,The Dark Knight,Crime,9.0,2303232
2,The Dark Knight,Drama,9.0,2303232
5,The Lord of the Rings: The Return of the King,Action,8.9,1642758
5,The Lord of the Rings: The Return of the King,Adventure,8.9,1642758
5,The Lord of the Rings: The Return of the King,Drama,8.9,1642758
23,Sen to Chihiro no kamikakushi,Animation,8.6,651376
23,Sen to Chihiro no kamikakushi,Adventure,8.6,651376
23,Sen to Chihiro no kamikakushi,Family,8.6,651376
7,Schindler's List,Biography,8.9,1213505
7,Schindler's List,Drama,8.9,1213505
7,Schindler's List,History,8.9,1213505
19,Gisaengchung,Comedy,8.6,552778
19,Gisaengchung,Drama,8.6,552778
19,Gisaengchung,Thriller,8.6,552778
1,The Godfather,Crime,9.2,1620367
1,The Godfather,Drama,9.2,1620367
0,The Shawshank Redemption,Drama,9.3,2343110
23,Sen to Chihiro no kamikakushi,Animation,8.6,651376
23,Sen to Chihiro no kamikakushi,Adventure,8.6,651376
23,Sen to Chihiro no kamikakushi,Family,8.6,651376
16,Star Wars: Episode V - The Empire Strikes Back,Action,8.7,1159315
16,Star Wars: Episode V - The Empire Strikes Back,Adventure,8.7,1159315
16,Star Wars: Episode V - The Empire Strikes Back,Fantasy,8.7,1159315
82,Sunset Blvd.,Drama,8.4,201632
82,Sunset Blvd.,Film-Noir,8.4,201632
7,Schindler's List,Biography,8.9,1213505
7,Schindler's List,Drama,8.9,1213505
7,Schindler's List,History,8.9,1213505
49,Psycho,Horror,8.5,604211
49,Psycho,Mystery,8.5,604211
49,Psycho,Thriller,8.5,604211
34,Whiplash,Drama,8.5,717585
34,Whiplash,Music,8.5,717585
76,Anand,Drama,8.4,30273
76,Anand,Musical,8.4,30273
27,Se7en,Crime,8.6,1445096
27,Se7en,Drama,8.6,1445096
27,Se7en,Mystery,8.6,1445096
11,Forrest Gump,Drama,8.8,1809221
11,Forrest Gump,Romance,8.8,1809221
8,Inception,Action,8.8,2067042
8,Inception,Adventure,8.8,2067042
8,Inception,Sci-Fi,8.8,2067042
100,Bacheha-Ye aseman,Drama,8.3,65341
100,Bacheha-Ye aseman,Family,8.3,65341
100,Bacheha-Ye aseman,Sport,8.3,65341
19,Gisaengchung,Comedy,8.6,552778
19,Gisaengchung,Drama,8.6,552778
19,Gisaengchung,Thriller,8.6,552778
24,Saving Private Ryan,Drama,8.6,1235804
24,Saving Private Ryan,War,8.6,1235804
12,"Il buono, il brutto, il cattivo",Western,8.8,688390
